,Date,Open,High,Low,Close,Volume
0,09/26/2025,29.3,29.5,29.0,29.4,"1,231,534"
1,09/25/2025,29.4,29.9,29.3,29.45,"12,884,450"
2,09/24/2025,29.05,29.9,29.05,29.35,"2,132,001"
3,09/23/2025,28.5,29.3,28.5,28.9,"4,348,136"
4,09/22/2025,28.75,28.9,28.25,28.7,"1,420,053"
5,09/19/2025,28.9,28.9,28.5,28.7,"1,348,857"
6,09/18/2025,29.0,29.0,28.0,28.8,"374,307"
7,09/17/2025,29.3,29.5,28.85,29.35,"23,822,641"
8,09/16/2025,29.35,29.4,29.25,29.3,"2,695,910"
9,09/15/2025,29.3,29.5,29.3,29.4,"2,391,036"
10,09/12/2025,29.15,29.95,29.15,29.45,"614,059"
11,09/11/2025,29.15,29.5,29.1,29.2,"5,702,145"
12,09/10/2025,29.15,29.25,29.0,29.15,"16,781,230"
13,09/09/2025,29.25,29.25,29.0,29.1,"5,330,549"
14,09/08/2025,29.8,30.0,29.0,29.25,"1,738,713"
15,09/05/2025,29.9,30.0,29.8,29.95,"12,119,800"
16,09/04/2025,30.5,31.0,29.8,30.0,"34,749,398"
17,09/03/2025,30.0,30.15,29.3,29.95,"30,116,891"
18,09/02/2025,28.85,29.95,28.85,29.1,"23,232,789"
19,09/01/2025,28.75,28.9,28.5,28.8,"5,742,617"
20,08/29/2025,28.6,28.85,28.5,28.6,"28,019,289"
21,08/28/2025,28.5,28.7,28.0,28.55,"3,008,405"
22,08/27/2025,28.5,28.75,28.0,28.45,"2,624,144"
